pack,rpt,motion,flight,timestamp,flight_id,source_dir,status,active_mode,settle_seconds,raw_sample_count,analysis_sample_count,total_log_duration_s,active_duration_s,sample_rate_Hz,attitude_rmse_x_rad,attitude_mae_x_rad,attitude_max_abs_x_rad,attitude_rmse_y_rad,attitude_mae_y_rad,attitude_max_abs_y_rad,attitude_rmse_z_rad,attitude_mae_z_rad,attitude_max_abs_z_rad,attitude_rmse_norm,position_rmse_x_m,position_mae_x_m,position_max_abs_x_m,position_rmse_y_m,position_mae_y_m,position_max_abs_y_m,position_rmse_z_m,position_mae_z_m,position_max_abs_z_m,position_rmse_norm,omega_rmse_x_rad_s,omega_mae_x_rad_s,omega_max_abs_x_rad_s,omega_rmse_y_rad_s,omega_mae_y_rad_s,omega_max_abs_y_rad_s,omega_rmse_z_rad_s,omega_mae_z_rad_s,omega_max_abs_z_rad_s,omega_rmse_norm,velocity_rmse_x_m_s,velocity_mae_x_m_s,velocity_max_abs_x_m_s,velocity_rmse_y_m_s,velocity_mae_y_m_s,velocity_max_abs_y_m_s,velocity_rmse_z_m_s,velocity_mae_z_m_s,velocity_max_abs_z_m_s,velocity_rmse_norm,acceleration_rmse_x_m_s2,acceleration_mae_x_m_s2,acceleration_max_abs_x_m_s2,acceleration_rmse_y_m_s2,acceleration_mae_y_m_s2,acceleration_max_abs_y_m_s2,acceleration_rmse_z_m_s2,acceleration_mae_z_m_s2,acceleration_max_abs_z_m_s2,acceleration_rmse_norm,imu_acc_mean_x_m_s2,imu_acc_std_x_m_s2,imu_acc_rms_x_m_s2,imu_acc_max_abs_x_m_s2,imu_acc_mean_y_m_s2,imu_acc_std_y_m_s2,imu_acc_rms_y_m_s2,imu_acc_max_abs_y_m_s2,imu_acc_mean_z_m_s2,imu_acc_std_z_m_s2,imu_acc_rms_z_m_s2,imu_acc_max_abs_z_m_s2,imu_acc_magnitude_mean_m_s2,imu_acc_magnitude_max_m_s2,mean_speed_m_s,max_speed_m_s,distance_m,mean_cpu_usage_pct,mean_pwm,std_pwm,max_pwm,motor_imbalance_pwm,battery_sample_count,start_voltage_V,end_voltage_V,min_voltage_V,mean_voltage_V,voltage_drop_V,mean_current_A,max_current_A,mean_power_W,max_power_W,discharged_capacity_Ah,energy_Wh,consumed_Ah_sensor_delta,start_battery_temp_C,end_battery_temp_C,max_battery_temp_C,battery_temp_rise_C,mean_cell_imbalance_mV,max_cell_imbalance_mV
PB,2,V,1,2026-08-24 16:44:14,PB_2_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 16-44-14_PB_2_V_1,ok,3,3,293262,282821,1192.3538,1144.7236,250.12506,0.037695166,0.028728424,0.263724,0.055528928,0.045777855,0.274952,0.011223859,0.0092903577,0.038514,0.068046766,0.04957406,0.043214741,0.16464,0.031589433,0.024051125,0.175814,0.16039087,0.13279204,0.473773,0.17082362,0.12337717,0.093501859,0.73219,0.15800325,0.12255014,0.710205,0.045599508,0.035556612,0.189768,0.20558761,0.15157366,0.13115916,0.530502,0.095914372,0.07275968,0.549556,0.41952793,0.35889156,1.193775,0.45626508,0.3753472,0.30771319,1.4117465,0.27464863,0.20257346,1.9865356,1.0977775,0.84940689,3.7203012,1.1922386,-0.23230844,0.27454745,0.35964359,1.566995,-0.060241612,0.18482473,0.19439453,1.123566,-9.6285946,2.7941118,10.025811,13.952703,9.6363055,13.961649,1.0998967,2.0893048,1260.4248,25.853159,426.2876,83.482776,678,58.241404,11450,15.089999,12.12,11.46,13.978432,2.969999,12.524848,26.677002,173.08049,396.68702,3.9832355,55.044244,3.985493,30.749994,59.550012,60.550012,28.800018,39.182882,294
PB,2,V,2,2026-08-24 18:38:05,PB_2_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 18-38-05_PB_2_V_2,ok,3,3,270394,259395,1197.4862,1146.7337,249.93752,0.038033891,0.02920268,0.220224,0.040670627,0.031969332,0.26476,0.010723688,0.0087708546,0.036892,0.056706915,0.02893759,0.024236341,0.121704,0.032510064,0.024892249,0.146385,0.15946061,0.13188342,0.480106,0.16529361,0.12256739,0.093804823,0.767902,0.13148418,0.1011154,0.843523,0.041435289,0.032347044,0.173172,0.18446609,0.090314765,0.074495651,0.418554,0.098999833,0.075845102,0.480101,0.41835913,0.35891494,1.222301,0.43929726,0.26686244,0.21061792,1.5149735,0.28953345,0.21749007,1.7116515,1.1492987,0.89117469,4.3328435,1.2148797,-0.1900407,0.25899436,0.32123752,1.458781,-0.056683176,0.1758467,0.18475672,1.015036,-9.5553385,2.7886325,9.9539422,14.430609,9.5617566,14.445528,1.0856677,2.1889638,1254.3353,25.835267,424.17765,82.741655,688,48.720037,11467,15.13,12.24,11.44,13.954433,2.89,12.508331,26.318001,172.57583,393.71729,3.9839229,54.965537,3.985011,27.650018,65.550012,66.550012,37.899994,45.279236,284
PB,2,V,3,2026-08-24 20:06:42,PB_2_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-24 20-06-42_PB_2_V_3,ok,3,3,291536,282363,1192.9512,1150.3277,250.12506,0.036564757,0.028134885,0.243301,0.052136152,0.04195467,0.242754,0.010267505,0.0083733012,0.043774,0.064502569,0.041293562,0.035915747,0.130787,0.029970941,0.023537983,0.128309,0.15318769,0.12530083,0.451224,0.16146171,0.12087392,0.092972124,0.716587,0.15488121,0.11844753,0.860574,0.041318582,0.032219311,0.160042,0.20076334,0.12721634,0.10906038,0.395607,0.09174688,0.071788917,0.424669,0.40443171,0.34370471,1.160114,0.43378162,0.32911375,0.27145198,1.1478246,0.2579921,0.19799379,1.3509177,1.0751325,0.83590311,3.7656083,1.1535968,-0.21970564,0.272626,0.35013641,1.622379,-0.075664455,0.17563264,0.1912379,1.174176,-9.6392157,2.8037163,10.03869,15.008346,9.6465862,15.014331,1.1003478,2.147775,1263.839,25.808996,423.51187,82.746304,687,52.856047,11503,15.349999,12.259999,11.53,14.053354,3.09,12.45681,32.285,173.10699,505.90595,3.9804685,55.315713,3.984515,34.550012,62.050012,62.749994,27.5,38.198731,344
PB,2,V,4,2026-08-26 12:38:49,PB_2_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 12-38-49_PB_2_V_4,ok,3,3,284894,276914,1179.6964,1141.8884,250.12506,0.039212471,0.02961709,0.220438,0.043270239,0.035173787,0.236724,0.010242324,0.0082881398,0.054207,0.059286058,0.040542902,0.034431675,0.13166,0.035544808,0.026765136,0.163962,0.16373891,0.13472981,0.496035,0.1723879,0.1306398,0.096961128,0.880457,0.12998501,0.10078928,0.675901,0.040251465,0.031012291,0.19977,0.18863467,0.12447053,0.10488111,0.452347,0.10813996,0.080851226,0.53505,0.42639804,0.36384837,1.328596,0.45716786,0.32157077,0.2548737,2.038451,0.30542465,0.22237884,1.8019177,1.1251366,0.87096406,3.7737145,1.2093901,-0.23045377,0.26682984,0.35257213,1.746729,-0.063285054,0.17958736,0.19041171,1.152918,-9.627448,2.7870702,10.02275,13.91945,9.6350199,13.940649,1.0937055,2.0789593,1252.2809,25.84441,427.49839,82.837148,688,44.43438,11418,15.11,12.11,11.309999,13.949394,3,12.547643,25.204,172.99773,378.4704,3.9793941,54.865182,3.983886,31.450006,65.650018,66.85,34.200012,39.844719,277
PB,2,V,5,2026-08-26 13:58:29,PB_2_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 13-58-29_PB_2_V_5,ok,3,3,288697,279968,1193.7622,1152.6336,249.81264,0.037972561,0.028898957,0.248142,0.047483312,0.039101228,0.218206,0.010408703,0.0083462957,0.045393,0.061684045,0.042562722,0.036571447,0.129541,0.032597335,0.024644815,0.204733,0.15553944,0.12689164,0.472029,0.16451957,0.12369619,0.092471417,1.088461,0.13909025,0.10717613,0.668928,0.040994091,0.031135669,0.195292,0.19059737,0.13017874,0.11127948,0.425548,0.099773442,0.075403409,0.628294,0.40655052,0.34400724,1.190168,0.43838861,0.33036253,0.26715525,1.3720814,0.28621983,0.21119897,2.1901792,1.0749854,0.82454965,4.02606,1.1604546,-0.23827609,0.27242741,0.36192843,1.740885,-0.040401364,0.17712636,0.18167558,0.993834,-9.6398303,2.7998036,10.038188,14.369865,9.6475052,14.380102,1.0985128,2.1075405,1266.1823,25.844988,424.31933,82.410711,688,48.570762,11523,15.46,12.349999,11.389999,14.060443,3.110001,12.435229,26.348001,172.79779,404.7053,3.9801009,55.306764,3.984689,43.650018,68.950006,69.249994,25.299988,36.565565,263
PB,2,V,6,2026-08-26 15:29:09,PB_2_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 15-29-09_PB_2_V_6,ok,3,3,292672,280192,1199.5939,1143.675,250.12506,0.036549644,0.027924716,0.243587,0.048299783,0.040027716,0.27474,0.009625359,0.0077812726,0.053596,0.061330197,0.041460352,0.036030718,0.120683,0.029510298,0.022695082,0.128997,0.16169165,0.13262721,0.491699,0.16951109,0.12116379,0.091552636,0.848334,0.14128251,0.10983702,0.70454,0.03791675,0.029194422,0.165164,0.18994497,0.12730656,0.11004076,0.399277,0.091424988,0.069817644,0.440014,0.42082298,0.35787617,1.324536,0.44906288,0.32361099,0.2640908,1.3350205,0.26940045,0.20031923,1.9106508,1.1043646,0.85197786,3.8207875,1.1819145,-0.23156214,0.27584618,0.36015571,1.59431,-0.052068598,0.17737579,0.18486024,1.151506,-9.6396649,2.7867064,10.034385,14.496274,9.64722,14.505054,1.0953413,2.0852142,1254.4358,25.849129,426.7962,82.894475,688,49.368615,11435,15.33,11.71,11.32,14.008702,3.62,12.525007,25.481001,173.42611,394.4459,3.9780802,55.082031,3.98319,37.35,66.550012,68.249994,29.200012,36.927766,247
PB,2,V,7,2026-08-26 16:52:54,PB_2_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 16-52-54_PB_2_V_7,ok,3,3,289144,281659,1184.1862,1144.813,250.12506,0.03843561,0.029009307,0.25319,0.036856367,0.02888584,0.298572,0.0095205863,0.0075968745,0.054183,0.054095559,0.025281573,0.020651697,0.113551,0.03220354,0.024548003,0.159432,0.16179614,0.13238013,0.487872,0.16689583,0.12635494,0.095016062,0.80375,0.12197912,0.09389371,0.922083,0.037153434,0.028477196,0.172318,0.17951283,0.080024804,0.064863686,0.414974,0.099457644,0.074903201,0.547232,0.42082526,0.35710778,1.275305,0.43976094,0.23535976,0.18143755,1.330749,0.28814237,0.21102863,1.9323896,1.1027907,0.85033741,3.8510818,1.1638589,-0.2033946,0.27279995,0.34027808,1.542245,-0.057116427,0.18629638,0.1948554,1.245691,-9.6303747,2.7820795,10.024175,14.559373,9.6375089,14.629262,1.0879116,2.0780253,1247.4549,25.851718,426.65747,82.332899,688,39.355483,11445,15.38,11.75,11.24,14.008731,3.63,12.53282,25.982,173.53134,393.93802,3.9839659,55.162684,3.984576,40.35,71.249994,72.150018,30.899994,42.695151,255
PB,2,V,8,2026-08-26 18:35:49,PB_2_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 18-35-49_PB_2_V_8,ok,3,3,291411,279820,1196.8169,1143.9415,249.93752,0.036419392,0.02777616,0.237238,0.034163842,0.027088906,0.25919,0.0094858348,0.007583812,0.044917,0.050828351,0.023392609,0.019149912,0.099183,0.031365321,0.024001282,0.14503,0.16197781,0.13356311,0.49419,0.16663675,0.11904031,0.090418593,0.742058,0.1148493,0.089163199,0.905759,0.037635153,0.028768505,0.181758,0.16963892,0.074265189,0.060328626,0.34534,0.095679551,0.072780399,0.520942,0.42197474,0.36037391,1.283201,0.43901318,0.22175587,0.17137438,1.1720924,0.27142496,0.20180141,1.542251,1.1097602,0.85974613,4.105723,1.1637933,-0.19267688,0.26706523,0.32931477,1.551856,-0.05300267,0.17921017,0.18688384,1.165089,-9.6363855,2.786345,10.031134,13.970218,9.6430124,13.976463,1.0888356,2.0927696,1248.2779,25.850348,426.82647,82.380319,685,40.575359,11435,15.299999,12.13,11.21,13.963739,3.169999,12.520705,25.287001,172.84019,387.39686,3.9767337,54.896112,3.983285,30.650018,68.950006,69.950006,38.299988,41.457018,265
PB,2,V,9,2026-08-26 20:57:42,PB_2_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 20-57-42_PB_2_V_9,ok,3,3,295135,281006,1207.1287,1144.6422,250.12506,0.034869631,0.026609421,0.192274,0.046784197,0.036915285,0.288005,0.010285733,0.0082251217,0.053514,0.059249038,0.035918858,0.030968572,0.107108,0.029263946,0.022583918,0.12315,0.16253498,0.13448969,0.490229,0.16900936,0.11498385,0.088276743,0.704342,0.141522,0.10755969,0.850971,0.040010938,0.030923829,0.165969,0.18668325,0.11164279,0.095177226,0.37159,0.089397628,0.068592287,0.395845,0.42416139,0.36314663,1.306237,0.44762589,0.29887729,0.24168592,1.6011576,0.25254402,0.18982597,1.3822358,1.1119953,0.86264713,3.7970657,1.1788297,-0.21119608,0.267718,0.34099371,1.509686,-0.071925521,0.18190786,0.19561123,1.019024,-9.6374051,2.7834837,10.031319,14.083357,9.644591,14.106364,1.0926636,2.0737905,1253.2815,25.852192,427.25396,82.875978,688,48.391913,11444,15.009999,11.969999,11.25,13.92259,3.04,12.515491,25.047001,172.26401,377.88336,3.9781674,54.755757,3.982937,25.950006,63.749994,63.749994,37.799988,39.23165,297
PB,2,V,10,2026-08-26 22:09:57,PB_2_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_2/2026-08-26 22-09-57_PB_2_V_10,ok,3,3,294679,284106,1202.2891,1154.1366,250.12506,0.031477536,0.024242751,0.199142,0.034963146,0.02805932,0.24162,0.010177006,0.0082316352,0.052419,0.048133443,0.024318056,0.02036369,0.081936,0.025671272,0.019959153,0.109888,0.1567384,0.12789076,0.496496,0.16067765,0.1063212,0.081024554,0.719353,0.11617515,0.090597033,0.719766,0.040009809,0.030900284,0.159717,0.16248583,0.077303572,0.064258256,0.319351,0.079145718,0.061133768,0.348177,0.40925555,0.34646404,1.442215,0.42394575,0.22922112,0.17967453,1.1784858,0.23050186,0.17383266,1.3963841,1.0734358,0.82337817,4.0733681,1.1215783,-0.1876672,0.26829268,0.32741402,1.48567,-0.064596722,0.17839624,0.18973128,1.005856,-9.6384952,2.7932948,10.035093,13.974486,9.6451413,13.981936,1.0870785,2.0828408,1257.1543,25.847237,424.22922,82.600491,688,45.825896,11540,15.33,11.27,11.27,14.023945,4.06,12.427707,27.044001,172.2573,410.2575,3.983346,55.212961,3.985049,40.249994,66.85,69.550012,26.600006,40.793328,265
PB,3,V,1,2026-09-01 15:27:52,PB_3_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 15-27-52_PB_3_V_1,ok,3,3,288470,276450,1180.1503,1125.8938,250.12506,0.039997586,0.03063278,0.235715,0.069265048,0.058345083,0.357413,0.0086136951,0.0068252426,0.053805,0.080446563,0.066573971,0.058736737,0.156403,0.037268894,0.028837997,0.186267,0.16551905,0.13744972,0.485623,0.18225702,0.13195018,0.10108435,0.813557,0.18341685,0.14242371,0.917834,0.035050521,0.02657694,0.172787,0.22865067,0.20260177,0.17881166,0.555938,0.11235162,0.086998308,0.564585,0.43136012,0.3708305,1.257149,0.48963447,0.48896064,0.40772554,1.6215822,0.31099551,0.23373289,1.8194969,1.1295973,0.87572382,3.778137,1.2695632,-0.24496091,0.24542497,0.34675534,1.505399,-0.18012997,0.18700609,0.25964992,1.179456,-9.613468,2.7800975,10.007383,14.378255,9.6221835,14.381745,1.1114504,2.0599787,1253.2355,25.843021,429.32456,82.160282,678,42.74781,11260,15.089999,11.53,11.429999,13.941504,3.559999,12.72132,25.795002,175.35098,391.31018,3.9784313,54.83921,3.983286,30.950006,46.85,48.550012,15.899994,37.760036,256
PB,3,V,2,2026-09-01 16:45:13,PB_3_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 16-45-13_PB_3_V_2,ok,3,3,289026,279311,1184.5978,1139.8155,250.12506,0.046991712,0.035103495,0.338774,0.049509936,0.038084115,0.41307,0.0088640539,0.0069705164,0.104685,0.068833322,0.028919347,0.024298506,0.107646,0.038317493,0.030680743,0.155657,0.15900574,0.13000582,0.480497,0.1660945,0.1493828,0.1127604,1.103822,0.15676333,0.11879544,1.369383,0.034749386,0.026477925,0.216958,0.21931138,0.092401535,0.077005864,0.39148,0.11766414,0.093535876,0.560216,0.41440331,0.35141317,1.190833,0.44058256,0.27728366,0.22346917,1.4195426,0.32847333,0.25513931,1.6535593,1.0892588,0.83790271,3.7878121,1.1710105,-0.21081705,0.24094139,0.32015088,1.5866,-0.14817689,0.18389024,0.23616098,1.244759,-9.6260145,2.7841637,10.020565,14.115191,9.6334387,14.140255,1.0940668,2.088925,1247.1537,25.840459,426.10281,81.363081,667,32.801182,11403,15.429999,11.639999,11.44,14.073667,3.79,12.577416,26.154001,174.97082,404.09849,3.9834679,55.416493,3.983049,45.35,66.050012,68.650018,20.700012,39.090766,259
